locus,mf,condition,Growth rate (h-1)
b1018,0.0001695706952457701,Glucose,0.58
b0839,0.0002789711437914287,Glucose,0.58
b1236,0.00034578356058181215,Glucose,0.58
b1215,0.0005274664483451379,Glucose,0.58
b4375,0.00031843344844539824,Glucose,0.58
b3296,0.002070794204614242,Glucose,0.58
b3341,0.006993814389168858,Glucose,0.58
b2585,0.0001011954149047338,Glucose,0.58
b3966,0.0002996790858375707,Glucose,0.58
b2913,0.0032507561853567023,Glucose,0.58
b2097,0.0005352807660983993,Glucose,0.58
b0767,0.0004258803175527406,Glucose,0.58
b1849,0.0006524955323973183,Glucose,0.58
b3433,0.0035711432132404177,Glucose,0.58
b2662,0.00017777572888669495,Glucose,0.58
b3447,6.876599622869947e-05,Glucose,0.58
b3847,0.00040243736429295643,Glucose,0.58
b0243,0.0002731104054764827,Glucose,0.58
b0242,0.0001719149905717489,Glucose,0.58
b1175,0.0005313736072217684,Glucose,0.58
b0419,0.00010979116443332113,Glucose,0.58
b0432,0.0005899809903712281,Glucose,0.58
b1002,0.00014847203731196469,Glucose,0.58
mdoG,0.00037274295683056364,Glucose,0.58
corC,4.6495190631904754e-05,Glucose,0.58
b1130,0.0004923020184554615,Glucose,0.58
b3336,0.00041025168204621783,Glucose,0.58
b2614,0.0008322248407223286,Glucose,0.58
b3730,0.00013049910647946404,Glucose,0.58
b0574,0.0006681241679038411,Glucose,0.58
b3320,0.002379459755868064,Glucose,0.58
b2515,0.00015550492328990015,Glucose,0.58
b0931,0.0001762128653360421,Glucose,0.58
b2901,0.0001324526859177794,Glucose,0.58
b4382,4.141588409228485e-05,Glucose,0.58
b3831,0.0003035862447142014,Glucose,0.58
b2498,0.003403135381545295,Glucose,0.58
b1207,0.0016488210459381346,Glucose,0.58
b3957,0.0005899809903712281,Glucose,0.58
b4139,3.73915104493553e-05,Glucose,0.58
b0166,0.0021294015877637027,Glucose,0.58
b2019,0.0008712964294886347,Glucose,0.58
b0237,0.0008244105229690673,Glucose,0.58
b2908,0.00019926510270816284,Glucose,0.58
b0077,0.00017972930832501027,Glucose,0.58
b2309,0.001984836709328369,Glucose,0.58
b2296,0.0008595749528587426,Glucose,0.58
b1611,0.0001629285251554981,Glucose,0.58
b3733,0.00047276622407230895,Glucose,0.58
b3894,9.533467658978774e-06,Glucose,0.58
b1604,0.0005977953081244895,Glucose,0.58
b2687,0.0008673892706120038,Glucose,0.58
b2294,0.00015589563917756265,Glucose,0.58
b3012,6.603098501505797e-05,Glucose,0.58
b4263,6.134239436310123e-05,Glucose,0.58
b0197,0.005704451959880745,Glucose,0.58
b2042,0.001035397102307126,Glucose,0.58
b3189,0.00018871577374126016,Glucose,0.58
b2041,0.0002652960877232213,Glucose,0.58
b2699,0.00037274295683056364,Glucose,0.58
b2411,0.00013870414012038794,Glucose,0.58
b2576,9.728825602810309e-05,Glucose,0.58
b1323,4.962091773320922e-05,Glucose,0.58
b0168,0.00028092472322974405,Glucose,0.58
b3303,0.0020590727279843485,Glucose,0.58
b4200,0.001773850129990315,Glucose,0.58
b0661,0.00033640637927789894,Glucose,0.58
b1086,3.551607418857265e-05,Glucose,0.58
b1637,0.0007032885977935164,Glucose,0.58
b2688,0.0002074701363490877,Glucose,0.58
b0154,0.0008556677939821118,Glucose,0.58
b3833,0.00016917997935810664,Glucose,0.58
b0420,0.00013088982236712654,Glucose,0.58
b0124,2.4341599801408898e-05,Glucose,0.58
b3600,0.00019340436439321677,Glucose,0.58
b2465,0.00035672360543637837,Glucose,0.58
b1197,2.7154754192582987e-05,Glucose,0.58
b0679,0.00011799619807424601,Glucose,0.58
b4005,0.0006290525791375341,Glucose,0.58
b0945,0.000368054366178607,Glucose,0.58
b3744,0.0004180659997994792,Glucose,0.58
b0031,0.0005743523548647053,Glucose,0.58
b3772,5.0793065396198425e-05,Glucose,0.58
b4054,0.000500116336208723,Glucose,0.58
b0811,0.0011916834573723442,Glucose,0.58
b1603,0.0006876599622869946,Glucose,0.58
b1602,0.0009416252892679864,Glucose,0.58
b3553,0.00041025168204621783,Glucose,0.58
hldE,0.0002652960877232213,Glucose,0.58
b0462,0.00020786085223675017,Glucose,0.58
b0740,0.0005040234950853536,Glucose,0.58
b3357,0.0003137448577934416,Glucose,0.58
b1067,0.00013440626535609474,Glucose,0.58
b3054,9.025537005016802e-05,Glucose,0.58
b3352,2.6060749707126466e-05,Glucose,0.58
b0239,7.540816631897156e-05,Glucose,0.58
b0763,0.0001340155494684313,Glucose,0.58
b0605,0.007853389342027603,Glucose,0.58
b2480,0.0008673892706120038,Glucose,0.58
b2526,0.00024966745221669846,Glucose,0.58
b3229,0.0007423601865598234,Glucose,0.58
b0888,0.000996325513540819,Glucose,0.58
b3234,0.0002586539176329493,Glucose,0.58
b0632,0.00038837159233708643,Glucose,0.58
b4392,3.80557274583825e-05,Glucose,0.58
b3162,0.00025591890641930794,Glucose,0.58
b3418,1.4104843544636674e-05,Glucose,0.58
b3982,0.0005235592894685072,Glucose,0.58
b3067,0.00029499049518561405,Glucose,0.58
b2891,0.0004493232708125248,Glucose,0.58
b1203,0.000711102915546778,Glucose,0.58
b1091,0.0004610447474424168,Glucose,0.58
b0423,7.032885977935164e-05,Glucose,0.58
b0756,0.0003071026877031686,Glucose,0.58
b0755,0.0022309877185561046,Glucose,0.58
b4252,0.0017308713823473735,Glucose,0.58
b4381,0.0002090329998997396,Glucose,0.58
b2476,0.001433927307723446,Glucose,0.58
b0337,0.000945532448144617,Glucose,0.58
b2601,0.0005235592894685072,Glucose,0.58
b2905,0.00017230570645941138,Glucose,0.58
b1260,0.0008165962052158058,Glucose,0.58
b0032,0.0024849530455370913,Glucose,0.58
b3458,0.0006759384856571026,Glucose,0.58
b1851,3.410949699298555e-05,Glucose,0.58
b0094,0.0001680078316951182,Glucose,0.58
b2241,5.430950838516607e-06,Glucose,0.58
b4349,0.0001328434018054419,Glucose,0.58
b3464,0.0004063445231695871,Glucose,0.58
b3388,0.00027271968958881925,Glucose,0.58
b2007,0.0016761711580745473,Glucose,0.58
b3644,0.00015276991207625887,Glucose,0.58
b0820,0.0001328434018054419,Glucose,0.58
b1108,0.00010900973265799519,Glucose,0.58
b2511,9.533467658978774e-05,Glucose,0.58
b3192,0.000243415998014089,Glucose,0.58
b3908,0.0032429418676034427,Glucose,0.58
b0015,0.00018324575131397754,Glucose,0.58
b4175,0.00031491700545643,Glucose,0.58
b2081,8.791107472418961e-05,Glucose,0.58
b0759,0.00015003490086261658,Glucose,0.58
b2036,0.0002328666690471863,Glucose,0.58
b0572,0.00048058054182556937,Glucose,0.58
b0779,6.642170090272104e-05,Glucose,0.58
b3961,8.791107472418961e-05,Glucose,0.58
b1658,0.00020434440924778295,Glucose,0.58
b4129,0.00018480861486462944,Glucose,0.58
b3305,0.0022153590830495764,Glucose,0.58
b0406,0.0002336481008225132,Glucose,0.58
b3384,0.0004415089530592633,Glucose,0.58
b1095,0.0005352807660983993,Glucose,0.58
b1093,0.000773617457572868,Glucose,0.58
b2153,0.0022817807839522965,Glucose,0.58
b0109,0.0001340155494684313,Glucose,0.58
b0757,9.924183546641844e-05,Glucose,0.58
b2388,0.0001117447438716365,Glucose,0.58
b1613,0.00025396532698099267,Glucose,0.58
b1723,0.0001973115232698475,Glucose,0.58
b1200,0.0001867621943029448,Glucose,0.58
b4232,0.00022544306718158837,Glucose,0.58
b2149,9.259966537614635e-06,Glucose,0.58
b3453,3.5477002599806295e-05,Glucose,0.58
b0908,0.0006134239436310123,Glucose,0.58
b2021,0.0005626308782348132,Glucose,0.58
b2020,0.0010314899434304913,Glucose,0.58
b1123,0.000840039158475589,Glucose,0.58
b1440,2.2583378306925178e-05,Glucose,0.58
b0830,0.00011565190274826719,Glucose,0.58
b2599,0.0004415089530592633,Glucose,0.58
b0863,0.00033640637927789894,Glucose,0.58
b1263,0.0003778222633701837,Glucose,0.58
b0073,0.0011760548218658256,Glucose,0.58
b3001,4.2197315867610994e-05,Glucose,0.58
b1444,0.00010314899434304914,Glucose,0.58
b3253,0.00024693244100305715,Glucose,0.58
b3472,0.0002789711437914287,Glucose,0.58
b1431,0.0002324759531595238,Glucose,0.58
gmhA,0.0004532304296891555,Glucose,0.58
coaB,7.111029155467778e-05,Glucose,0.58
wzzB,0.0003868087287864345,Glucose,0.58
b1333,0.0003344527998395835,Glucose,0.58
b3405,0.0001469091737613128,Glucose,0.58
b0660,0.0001855900466399554,Glucose,0.58
